,date,time,x,y,z,label
317,2018-10-27,9:53:11,8.94354062,-3.58771132,0.69431848,standing
318,2018-10-27,9:53:12,8.98244625,-3.64038375,0.69431849,standing
319,2018-10-27,9:53:13,8.92199275,-3.85705903,1.11689513,standing
320,2018-10-27,9:53:14,9.0472092,-3.99568322,1.33596456,standing
321,2018-10-27,9:53:15,8.950723,-3.87022708,1.44370363,standing
322,2018-10-27,9:53:16,8.9231895,-3.87980382,1.37187753,standing
323,2018-10-27,9:53:17,8.99142425,-3.98275455,1.3275848,standing
324,2018-10-27,9:54:39,9.21288775,-2.9065609,0.93044666,standing
325,2018-10-27,9:54:40,9.23682975,-2.46123933,0.63446346,standing
326,2018-10-27,9:54:41,9.2938122,-2.4207773,0.46447512,standing
327,2018-10-27,9:54:42,9.32302175,-2.39659585,0.79367784,standing
328,2018-10-27,9:54:43,9.289503,-2.4552538,1.13126035,standing
329,2018-10-27,9:54:44,9.32302175,-2.4756045,1.2138603,standing
330,2018-10-27,9:54:45,9.2495196,-2.45716916,1.38001786,standing
331,2018-10-27,9:54:46,9.23084525,-2.5462334,1.5466543,standing
332,2018-10-27,9:54:47,9.217677,-2.5163059,1.6938977,standing
333,2018-10-27,9:54:48,9.230845,-2.52588275,1.76213242,standing
334,2018-10-27,9:54:49,9.2294086,-2.49739172,1.7841591,standing
335,2018-10-27,9:54:50,9.22725375,-2.4588451,1.77530055,standing
336,2018-10-27,9:54:51,9.29189725,-2.4863784,1.8016368,standing
337,2018-10-27,9:54:52,9.23443625,-2.4624364,1.78966575,standing
338,2018-10-27,9:54:53,9.2009175,-2.4061728,1.8267759,standing
339,2018-10-27,9:54:54,9.2322814,-2.45429612,1.80905882,standing
340,2018-10-27,9:54:55,9.26316675,-2.38821625,1.8112136,standing
341,2018-10-27,9:54:56,9.1542305,-2.3666684,1.8171991,standing
342,2018-10-27,9:54:57,9.24880125,-2.48757553,1.8183962,standing
343,2018-10-27,9:54:58,9.2686734,-2.46483062,1.778413,standing
344,2018-10-27,9:54:59,9.26196975,-2.40497558,1.75135852,standing
345,2018-10-30,1:0:35,-1.875857,-9.184158,2.78445655,laying
346,2018-10-30,1:0:36,-1.88184253,-9.22366225,2.7712884,laying
347,2018-10-30,1:0:37,-1.14083718,-7.93199038,5.03620323,laying
348,2018-10-30,1:0:38,-0.24253263,-4.68473436,8.49726134,laying
349,2018-10-30,1:0:39,-1.44130938,-7.98945132,5.59644655,laying
350,2018-10-30,1:0:40,-1.4389153,-7.91882233,5.7185507,laying
351,2018-10-30,1:0:41,-1.48560212,-7.82784228,5.781997,laying
352,2018-10-30,1:0:42,-1.4698004,-7.76511426,5.8693853,laying
353,2018-10-30,1:0:43,-1.42574712,-7.7967178,5.93402905,laying
354,2018-10-30,1:0:44,-1.47961663,-7.75481915,5.90170713,laying
355,2018-10-30,1:0:45,-1.68432088,-7.44117905,6.16028092,laying
356,2018-10-30,1:0:46,-1.67282872,-6.8696828,6.90463832,laying
357,2018-10-30,1:0:47,-1.65678755,-6.51941135,7.25203685,laying
358,2018-10-30,1:0:48,-1.62686,-6.43322012,7.28316142,laying
359,2018-10-30,1:0:49,-1.6328455,-6.40688398,7.29992082,laying
360,2018-10-30,1:0:50,-1.6208745,-6.41047525,7.31787725,laying
